City,County,Indicator,Category,CHR&R release year,Underlying data year / period,Value,Unit,Better direction,Nashville rank out of 9,Peer city average (excluding Nashville),Nashville difference from peer average,Nashville percent difference from peer average,Nashville vs peer average,Best performing city,Best performing value,Worst performing city,Worst performing value
Denver,"Denver County, CO",Poor Mental Health Days,Health outcomes / well-being,2013,2005-2011,3.2,days per month,Lower is better,2,3.025,-0.225,-7.44,Better,Raleigh,2.6,Charlotte,3.3
Atlanta,"Fulton County, GA",Poor Mental Health Days,Health outcomes / well-being,2013,2005-2011,2.8,days per month,Lower is better,2,3.025,-0.225,-7.44,Better,Raleigh,2.6,Charlotte,3.3
Fort Worth,"Tarrant County, TX",Poor Mental Health Days,Health outcomes / well-being,2013,2005-2011,3,days per month,Lower is better,2,3.025,-0.225,-7.44,Better,Raleigh,2.6,Charlotte,3.3
Dallas,"Dallas County, TX",Poor Mental Health Days,Health outcomes / well-being,2013,2005-2011,3.2,days per month,Lower is better,2,3.025,-0.225,-7.44,Better,Raleigh,2.6,Charlotte,3.3
Nashville,"Davidson County, TN",Poor Mental Health Days,Health outcomes / well-being,2013,2005-2011,2.8,days per month,Lower is better,2,3.025,-0.225,-7.44,Better,Raleigh,2.6,Charlotte,3.3
Austin,"Travis County, TX",Adult Obesity,Health outcomes / well-being,2013,2009,24.8,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Raleigh,"Wake County, NC",Adult Obesity,Health outcomes / well-being,2013,2009,26,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Durham,"Durham County, NC",Adult Obesity,Health outcomes / well-being,2013,2009,30.3,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Charlotte,"Mecklenburg County, NC",Adult Obesity,Health outcomes / well-being,2013,2009,25.8,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Denver,"Denver County, CO",Adult Obesity,Health outcomes / well-being,2013,2009,18.1,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Atlanta,"Fulton County, GA",Adult Obesity,Health outcomes / well-being,2013,2009,23.8,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Fort Worth,"Tarrant County, TX",Adult Obesity,Health outcomes / well-being,2013,2009,27.8,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Dallas,"Dallas County, TX",Adult Obesity,Health outcomes / well-being,2013,2009,30.7,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Nashville,"Davidson County, TN",Adult Obesity,Health outcomes / well-being,2013,2009,30,%,Lower is better,7,25.9125,4.0875,15.77,Worse,Denver,18.1,Dallas,30.7
Austin,"Travis County, TX",Diabetes Prevalence,Health outcomes / well-being,2013,2009,6.7,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Raleigh,"Wake County, NC",Diabetes Prevalence,Health outcomes / well-being,2013,2009,7.2,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Durham,"Durham County, NC",Diabetes Prevalence,Health outcomes / well-being,2013,2009,8.7,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Charlotte,"Mecklenburg County, NC",Diabetes Prevalence,Health outcomes / well-being,2013,2009,7.8,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Denver,"Denver County, CO",Diabetes Prevalence,Health outcomes / well-being,2013,2009,5.5,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Atlanta,"Fulton County, GA",Diabetes Prevalence,Health outcomes / well-being,2013,2009,8.2,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Fort Worth,"Tarrant County, TX",Diabetes Prevalence,Health outcomes / well-being,2013,2009,8.3,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Dallas,"Dallas County, TX",Diabetes Prevalence,Health outcomes / well-being,2013,2009,9.4,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Nashville,"Davidson County, TN",Diabetes Prevalence,Health outcomes / well-being,2013,2009,9.2,%,Lower is better,8,7.725,1.475,19.09,Worse,Denver,5.5,Dallas,9.4
Austin,"Travis County, TX",Adult Smoking,Health behaviors,2013,2005-2011,15.9,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Raleigh,"Wake County, NC",Adult Smoking,Health behaviors,2013,2005-2011,14.2,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Durham,"Durham County, NC",Adult Smoking,Health behaviors,2013,2005-2011,14.6,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Charlotte,"Mecklenburg County, NC",Adult Smoking,Health behaviors,2013,2005-2011,15,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Denver,"Denver County, CO",Adult Smoking,Health behaviors,2013,2005-2011,19.2,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Atlanta,"Fulton County, GA",Adult Smoking,Health behaviors,2013,2005-2011,13.3,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Fort Worth,"Tarrant County, TX",Adult Smoking,Health behaviors,2013,2005-2011,17.5,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Dallas,"Dallas County, TX",Adult Smoking,Health behaviors,2013,2005-2011,15.9,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Nashville,"Davidson County, TN",Adult Smoking,Health behaviors,2013,2005-2011,18,%,Lower is better,7,15.7,2.3,14.65,Worse,Atlanta,13.3,Denver,19.2
Austin,"Travis County, TX",Physical Inactivity,Health behaviors,2013,2009,18.3,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Raleigh,"Wake County, NC",Physical Inactivity,Health behaviors,2013,2009,18.1,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Durham,"Durham County, NC",Physical Inactivity,Health behaviors,2013,2009,20.3,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Charlotte,"Mecklenburg County, NC",Physical Inactivity,Health behaviors,2013,2009,19.9,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Denver,"Denver County, CO",Physical Inactivity,Health behaviors,2013,2009,15.7,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Atlanta,"Fulton County, GA",Physical Inactivity,Health behaviors,2013,2009,19.3,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Fort Worth,"Tarrant County, TX",Physical Inactivity,Health behaviors,2013,2009,22.4,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Dallas,"Dallas County, TX",Physical Inactivity,Health behaviors,2013,2009,24.8,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Nashville,"Davidson County, TN",Physical Inactivity,Health behaviors,2013,2009,26.6,%,Lower is better,9,19.85,6.75,34.01,Worse,Denver,15.7,Nashville,26.6
Austin,"Travis County, TX",Excessive Drinking,Health behaviors,2013,2005-2011,22.3,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Raleigh,"Wake County, NC",Excessive Drinking,Health behaviors,2013,2005-2011,14.9,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Durham,"Durham County, NC",Excessive Drinking,Health behaviors,2013,2005-2011,15.3,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Charlotte,"Mecklenburg County, NC",Excessive Drinking,Health behaviors,2013,2005-2011,16.2,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Denver,"Denver County, CO",Excessive Drinking,Health behaviors,2013,2005-2011,22.5,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Atlanta,"Fulton County, GA",Excessive Drinking,Health behaviors,2013,2005-2011,17.2,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Fort Worth,"Tarrant County, TX",Excessive Drinking,Health behaviors,2013,2005-2011,17.2,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Dallas,"Dallas County, TX",Excessive Drinking,Health behaviors,2013,2005-2011,14,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Nashville,"Davidson County, TN",Excessive Drinking,Health behaviors,2013,2005-2011,11.8,%,Lower is better,1,17.45,-5.65,-32.38,Better,Nashville,11.8,Denver,22.5
Austin,"Travis County, TX",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Insufficient Sleep,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Food Insecurity,Health behaviors,2013,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Durham,"Durham County, NC",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Denver,"Denver County, CO",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Drug Overdose Deaths,Health behaviors,2013,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Austin,"Travis County, TX",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Raleigh,"Wake County, NC",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Durham,"Durham County, NC",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Denver,"Denver County, CO",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Atlanta,"Fulton County, GA",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Dallas,"Dallas County, TX",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Nashville,"Davidson County, TN",Access to Exercise Opportunities,Health behaviors,2013,,,%,Higher is better,,,,,,,,,
Austin,"Travis County, TX",Uninsured,Clinical care,2013,2010,22.7,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Raleigh,"Wake County, NC",Uninsured,Clinical care,2013,2010,15.5,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Durham,"Durham County, NC",Uninsured,Clinical care,2013,2010,19.1,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Charlotte,"Mecklenburg County, NC",Uninsured,Clinical care,2013,2010,18.4,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Denver,"Denver County, CO",Uninsured,Clinical care,2013,2010,20.7,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Atlanta,"Fulton County, GA",Uninsured,Clinical care,2013,2010,22.9,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Fort Worth,"Tarrant County, TX",Uninsured,Clinical care,2013,2010,23.6,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Dallas,"Dallas County, TX",Uninsured,Clinical care,2013,2010,31,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Nashville,"Davidson County, TN",Uninsured,Clinical care,2013,2010,19.8,%,Lower is better,4,21.7375,-1.9375,-8.91,Better,Raleigh,15.5,Dallas,31
Austin,"Travis County, TX",Primary Care Physicians,Clinical care,2013,2011-2012,1271,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Raleigh,"Wake County, NC",Primary Care Physicians,Clinical care,2013,2011-2012,1240,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Durham,"Durham County, NC",Primary Care Physicians,Clinical care,2013,2011-2012,844,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Charlotte,"Mecklenburg County, NC",Primary Care Physicians,Clinical care,2013,2011-2012,1148,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Denver,"Denver County, CO",Primary Care Physicians,Clinical care,2013,2011-2012,868,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Atlanta,"Fulton County, GA",Primary Care Physicians,Clinical care,2013,2011-2012,922,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Fort Worth,"Tarrant County, TX",Primary Care Physicians,Clinical care,2013,2011-2012,1739,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Dallas,"Dallas County, TX",Primary Care Physicians,Clinical care,2013,2011-2012,1585,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Nashville,"Davidson County, TN",Primary Care Physicians,Clinical care,2013,2011-2012,1085,residents per primary care physician,Lower is better,4,1202.125,-117.125,-9.74,Better,Durham,844,Fort Worth,1739
Austin,"Travis County, TX",Mental Health Providers,Clinical care,2013,2011-2012,1534,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Raleigh,"Wake County, NC",Mental Health Providers,Clinical care,2013,2011-2012,1954,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Durham,"Durham County, NC",Mental Health Providers,Clinical care,2013,2011-2012,659,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Charlotte,"Mecklenburg County, NC",Mental Health Providers,Clinical care,2013,2011-2012,3027,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Denver,"Denver County, CO",Mental Health Providers,Clinical care,2013,2011-2012,712,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Atlanta,"Fulton County, GA",Mental Health Providers,Clinical care,2013,2011-2012,1246,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Fort Worth,"Tarrant County, TX",Mental Health Providers,Clinical care,2013,2011-2012,5328,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Dallas,"Dallas County, TX",Mental Health Providers,Clinical care,2013,2011-2012,2855,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Nashville,"Davidson County, TN",Mental Health Providers,Clinical care,2013,2011-2012,1399,residents per mental health provider,Lower is better,4,2164.375,-765.375,-35.36,Better,Durham,659,Fort Worth,5328
Austin,"Travis County, TX",Preventable Hospital Stays,Clinical care,2013,2010,5726.9999981,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Raleigh,"Wake County, NC",Preventable Hospital Stays,Clinical care,2013,2010,4983.9999914,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Durham,"Durham County, NC",Preventable Hospital Stays,Clinical care,2013,2010,4945.9999919,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Charlotte,"Mecklenburg County, NC",Preventable Hospital Stays,Clinical care,2013,2010,4709.9999905,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Denver,"Denver County, CO",Preventable Hospital Stays,Clinical care,2013,2010,4116.9999957,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Atlanta,"Fulton County, GA",Preventable Hospital Stays,Clinical care,2013,2010,5076.9999981,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Fort Worth,"Tarrant County, TX",Preventable Hospital Stays,Clinical care,2013,2010,6704.9999952,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Dallas,"Dallas County, TX",Preventable Hospital Stays,Clinical care,2013,2010,5937.9999995,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Nashville,"Davidson County, TN",Preventable Hospital Stays,Clinical care,2013,2010,6468.9999819,"hospital stays per 100,000 Medicare enrollees",Lower is better,8,5275.499995,1193.499987,22.62,Worse,Denver,4116.9999957,Fort Worth,6704.9999952
Austin,"Travis County, TX",Children in Poverty,Social & economic,2013,2011,24.1,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Raleigh,"Wake County, NC",Children in Poverty,Social & economic,2013,2011,16.4,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Durham,"Durham County, NC",Children in Poverty,Social & economic,2013,2011,27.2,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Charlotte,"Mecklenburg County, NC",Children in Poverty,Social & economic,2013,2011,23.8,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Denver,"Denver County, CO",Children in Poverty,Social & economic,2013,2011,26.2,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Atlanta,"Fulton County, GA",Children in Poverty,Social & economic,2013,2011,27,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Fort Worth,"Tarrant County, TX",Children in Poverty,Social & economic,2013,2011,23.8,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Dallas,"Dallas County, TX",Children in Poverty,Social & economic,2013,2011,30,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Nashville,"Davidson County, TN",Children in Poverty,Social & economic,2013,2011,29.4,%,Lower is better,7,24.8125,4.5875,18.49,Worse,Raleigh,16.4,Dallas,30
Austin,"Travis County, TX",Unemployment,Social & economic,2013,2011,6.6,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Raleigh,"Wake County, NC",Unemployment,Social & economic,2013,2011,8.3,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Durham,"Durham County, NC",Unemployment,Social & economic,2013,2011,8.5,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Charlotte,"Mecklenburg County, NC",Unemployment,Social & economic,2013,2011,10.7,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Denver,"Denver County, CO",Unemployment,Social & economic,2013,2011,9.1,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Atlanta,"Fulton County, GA",Unemployment,Social & economic,2013,2011,10.5,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Fort Worth,"Tarrant County, TX",Unemployment,Social & economic,2013,2011,7.8,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Dallas,"Dallas County, TX",Unemployment,Social & economic,2013,2011,8.4,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Nashville,"Davidson County, TN",Unemployment,Social & economic,2013,2011,8.2,%,Lower is better,3,8.7375,-0.5375,-6.15,Better,Austin,6.6,Charlotte,10.7
Austin,"Travis County, TX",Median Household Income,Social & economic,2013,2011,53303,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Raleigh,"Wake County, NC",Median Household Income,Social & economic,2013,2011,62436,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Durham,"Durham County, NC",Median Household Income,Social & economic,2013,2011,47007,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Charlotte,"Mecklenburg County, NC",Median Household Income,Social & economic,2013,2011,52111,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Denver,"Denver County, CO",Median Household Income,Social & economic,2013,2011,47584,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Atlanta,"Fulton County, GA",Median Household Income,Social & economic,2013,2011,54893,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Fort Worth,"Tarrant County, TX",Median Household Income,Social & economic,2013,2011,52882,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Dallas,"Dallas County, TX",Median Household Income,Social & economic,2013,2011,47335,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Nashville,"Davidson County, TN",Median Household Income,Social & economic,2013,2011,43893,USD,Higher is better,9,52193.875,-8300.875,-15.90,Worse,Raleigh,62436,Nashville,43893
Austin,"Travis County, TX",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Raleigh,"Wake County, NC",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Durham,"Durham County, NC",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Denver,"Denver County, CO",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Atlanta,"Fulton County, GA",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Dallas,"Dallas County, TX",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Nashville,"Davidson County, TN",High School Completion,Social & economic,2013,,,%,Higher is better,,,,,,,,,
Austin,"Travis County, TX",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Income Inequality,Social & economic,2013,,,80th/20th percentile income ratio,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Severe Housing Problems,Physical environment,2013,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Air Pollution – Particulate Matter,Physical environment,2013,2008,9.43,µg/m³ PM2.5,Lower is better,9,11.2975,3.0725,27.20,Worse,Denver,8.45,Nashville,14.37
